HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,26816,2,2
1,32128,8,8
2,65056,15,15
3,1024,19,19
4,1344,24,24
5,640,29,29
6,8448,35,35
7,536064,54,54
8,640,58,58
9,640,63,63
10,1704832,68,68
11,5760,77,77
12,2016,83,83
13,640,87,87
14,672,92,92
15,24544,97,97
16,3616,103,103
17,1792,109,109
18,640,113,113
19,640,118,118
20,1184,123,123
21,3424,129,129
22,1792,135,135
23,640,139,139
24,640,144,144
25,640,149,149
26,10208,154,154
27,699328,182,182
28,640,186,186
29,672,191,191
30,7299712,196,196
31,1521728,205,205

Range Index,Elapsed Time, First Event,Last Event
0,28864,2,2
1,30272,8,8
2,64736,15,15
3,1216,19,19
4,1088,24,24
5,672,29,29
6,8544,35,35
7,1159904,54,54
8,640,58,58
9,608,63,63
10,1514464,68,68
11,5824,77,77
12,6208,83,83
13,640,87,87
14,640,92,92
15,28160,97,97
16,3584,103,103
17,2816,109,109
18,640,113,113
19,640,118,118
20,1536,123,123
21,3424,129,129
22,2304,135,135
23,640,139,139
24,608,144,144
25,640,149,149
26,10048,154,154
27,3045760,182,182
28,640,186,186
29,672,191,191
30,6468928,196,196
31,2227168,205,205
